年度,都,都道府県
1995,7.8,13.3
1996,8.5,14.0
1997,9.4,15.2
1998,10.2,16.4
1999,10.3,17.2
2000,10.9,17.7
2001,11.3,18.4
2002,12.6,19.2
2003,12.0,19.8
2004,12.9,19.9
2005,12.3,19.3
2006,15.5,19.4
2007,11.3,18.6
2008,13.0,19.3
2009,12.1,18.8
2010,10.6,18.9
2011,10.2,19.4
2012,9.8,19.7
2013,9.6,19.9
2014,9.6,19.5
2015,8.2,18.7
2016,7.3,18.4
2017,8.5,18.6
2018,6.8,18.2
2019,5.6,17.7
2020,5.3,16.6
2021,5.0,16.6
2022,4.7,16.0
2023,4.7,16.0
2024,5.1,
