公金支出情報（令和　８年　１月分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,支払額（円）
政策企画局,総務部,秘書課,令和08年01月08日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約に係る支出について(12月分),"250,837 "
政策企画局,総務部,秘書課,令和08年01月08日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,ようかんの購入に係る支出について（10～12月分）,"103,856 "
政策企画局,総務部,秘書課,令和08年01月09日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,新聞の購入に係る支出について(12月分),"157,400 "
政策企画局,総務部,秘書課,令和08年01月13日,一般会計,総務費,政策企画費,管理費,役務費,電話料金（非常通報装置）の払込みについて(12月分),"5,508 "
政策企画局,総務部,秘書課,令和08年01月13日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,少額支払案件に係る前渡金の支出(一般需用費・1月分),"187,496 "
政策企画局,総務部,秘書課,令和08年01月13日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支出(役務費・1月分),"6,255 "
政策企画局,総務部,秘書課,令和08年01月16日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,雑誌の購入(概算契約)に係る支出について(10～12月分),"305,433 "
政策企画局,総務部,秘書課,令和08年01月19日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,生花花籠の購入にかかる支出について（１２月分）,"59,400 "
政策企画局,総務部,秘書課,令和08年01月27日,一般会計,総務費,政策企画費,管理費,役務費,通信料金の払込みについて(12月分),"186,390 "
政策企画局,総務部,秘書課,令和08年01月30日,一般会計,総務費,政策企画費,管理費,役務費,モバイルWi-Fiルーター料金の払込について(２月分),"9,754 "
政策企画局,総務部,管理課,令和08年01月05日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,令和７年第四回都議会定例会知事所信表明の印刷,"194,370 "
政策企画局,総務部,管理課,令和08年01月05日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,敷布団外５点の借入れに要する経費（１２月分）,"14,575 "
政策企画局,総務部,管理課,令和08年01月05日,一般会計,総務費,政策企画費,管理費,役務費,敷布団外５点の借入れに要する経費（１２月分）,"2,200 "
政策企画局,総務部,管理課,令和08年01月19日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,政策情報作成支援システム用サーバの借入れ(12月分),"733,700 "
政策企画局,総務部,管理課,令和08年01月19日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,政策情報作成支援システム用端末の借入れ（12月分）,"21,120 "
政策企画局,総務部,管理課,令和08年01月19日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,庁議室放送設備等の借入れに要する経費の支出(12月分),"554,070 "
政策企画局,総務部,管理課,令和08年01月19日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,庁議室AV機器の借入れに要する経費の支出(12月分),"173,580 "
政策企画局,戦略広報部,企画調整課,令和08年01月06日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度ファクシミリの賃借に係る経費の支出,"5,720 "
政策企画局,戦略広報部,企画調整課,令和08年01月07日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度チケットによるタクシー利用料金の支払,"516,414 "
政策企画局,戦略広報部,企画調整課,令和08年01月07日,一般会計,総務費,政策企画費,広報広聴費,委託料,Ｒ７都区市町村業務連絡に関する研修委託に係る支出,"132,000 "
政策企画局,戦略広報部,企画調整課,令和08年01月09日,一般会計,総務費,政策企画費,広報広聴費,役務費,地上デジタル放送番組情報配信委託の支払いについて,"66,000 "
政策企画局,戦略広報部,企画調整課,令和08年01月09日,一般会計,総務費,政策企画費,広報広聴費,委託料,重点施策に関する広告掲出等委託,"9,735,000 "
政策企画局,戦略広報部,企画調整課,令和08年01月14日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,日刊紙の購読に係る経費の支出,"130,020 "
政策企画局,戦略広報部,企画調整課,令和08年01月14日,一般会計,総務費,政策企画費,広報広聴費,役務費,Wi-Fiルーター通信回線に係る経費の支出,"23,400 "
政策企画局,戦略広報部,企画調整課,令和08年01月15日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和７年度都民の声総合窓口運営委託に係る経費の支出,"291,500 "
政策企画局,戦略広報部,企画調整課,令和08年01月16日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度裁断機の借入れに係る経費の支出,"16,170 "
政策企画局,戦略広報部,企画調整課,令和08年01月16日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和7年度都民生活に関する世論調査の委託,"7,502,000 "
政策企画局,戦略広報部,企画調整課,令和08年01月20日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,R7複数少額資金前渡金(一般需用費)１月分支出,"98,907 "
政策企画局,戦略広報部,企画調整課,令和08年01月20日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7複数少額資金前渡金(役務費)１月支出,"16,228 "
政策企画局,戦略広報部,企画調整課,令和08年01月22日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,R7複写サービスに関する契約(単価契約)の支出(１２月,"243,394 "
政策企画局,戦略広報部,企画調整課,令和08年01月22日,一般会計,生活文化費,都民安全総合対策費,管理費,需用費　一般需用費,R7複写サービスに関する契約(単価契約)の支出(１２月,"3,663 "
政策企画局,戦略広報部,企画調整課,令和08年01月22日,一般会計,生活文化費,生活文化費,都民生活費,需用費　一般需用費,R7複写サービスに関する契約(単価契約)の支出(１２月,"11,085 "
政策企画局,戦略広報部,企画調整課,令和08年01月23日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和７年度都民の声総合窓口運営委託に係る経費の支出,"291,500 "
政策企画局,戦略広報部,企画調整課,令和08年01月23日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,R７年度シュレッダーの借入れに係る経費の支出,"19,800 "
政策企画局,戦略広報部,企画調整課,令和08年01月23日,一般会計,総務費,政策企画費,広報広聴費,役務費,令和７年度労働者派遣（秘書事務）（単価契約）の支払,"258,331 "
政策企画局,戦略広報部,企画調整課,令和08年01月26日,一般会計,総務費,政策企画費,広報広聴費,委託料,R７年度都民の声業務支援DBの運用保守委託に係る支出,"309,007 "
政策企画局,戦略広報部,企画調整課,令和08年01月26日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,R7都民の声業務支援DBサーバ機器等の借入れに係る支出,"335,412 "
政策企画局,戦略広報部,企画調整課,令和08年01月26日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度ファクシミリの賃借に係る経費の支出,"5,720 "
政策企画局,戦略広報部,企画調整課,令和08年01月26日,一般会計,総務費,政策企画費,広報広聴費,役務費,１月分  公共料金支払,"6,608 "
政策企画局,戦略広報部,企画調整課,令和08年01月27日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,令和７年度雑誌の定期購読（概算契約（その２）に係る,"12,024 "
政策企画局,戦略広報部,企画調整課,令和08年01月27日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,令和７年度雑誌「ＦＡＣＴＡ」、「月刊ＴＨＥＭＩＳ」,"17,877 "
政策企画局,戦略広報部,企画調整課,令和08年01月27日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,令和７年度雑誌の定期購読（概算契約）に係る経費,"70,833 "
政策企画局,戦略広報部,企画調整課,令和08年01月29日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,プロンプター用ソフトウェアの購入,"275,000 "
政策企画局,戦略広報部,戦略広報課,令和08年01月05日,一般会計,総務費,政策企画費,広報広聴費,委託料,7年度広報東京都レイアウト、イラスト等委託(11月分),"6,796,900 "
政策企画局,戦略広報部,戦略広報課,令和08年01月05日,一般会計,総務費,政策企画費,広報広聴費,役務費,Ｒ７ＣＨＴＶ業務用プロバイダ契約に伴う支出,"1,100 "
政策企画局,戦略広報部,戦略広報課,令和08年01月05日,一般会計,総務費,政策企画費,広報広聴費,委託料,R７CHTV番組制作･放送等の委託（単価契約）（11月分）,"4,181,100 "
政策企画局,戦略広報部,戦略広報課,令和08年01月05日,一般会計,総務費,政策企画費,広報広聴費,役務費,１月分  公共料金支払,"12,870 "
政策企画局,戦略広報部,戦略広報課,令和08年01月05日,一般会計,総務費,政策企画費,広報広聴費,役務費,１月分  公共料金支払,"5,940 "
政策企画局,戦略広報部,戦略広報課,令和08年01月05日,一般会計,総務費,政策企画費,広報広聴費,役務費,１月分  公共料金支払,"5,940 "
政策企画局,戦略広報部,戦略広報課,令和08年01月05日,一般会計,総務費,政策企画費,広報広聴費,役務費,１月分  公共料金支払,"10,304 "
政策企画局,戦略広報部,戦略広報課,令和08年01月08日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,都政記録写真管理システム用パソコンの賃借,"8,690 "
政策企画局,戦略広報部,戦略広報課,令和08年01月08日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和７年度都政記録写真WEB検索システム業務委託,"226,600 "
政策企画局,戦略広報部,戦略広報課,令和08年01月08日,一般会計,総務費,政策企画費,広報広聴費,役務費,令和７年度都庁総合HP運営用プロバイダ契約,770 
政策企画局,戦略広報部,戦略広報課,令和08年01月09日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7都提供番組「都民ニュース」の制作・放送委託11月,"5,145,800 "
政策企画局,戦略広報部,戦略広報課,令和08年01月09日,一般会計,総務費,政策企画費,広報広聴費,委託料,広報東京都音声版の製作・配布委託（単価契約）11月分,"1,236,503 "
政策企画局,戦略広報部,戦略広報課,令和08年01月14日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,都庁総合HP運営に係る機器等の借入れ(長期継続契約),"138,050 "
政策企画局,戦略広報部,戦略広報課,令和08年01月14日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度都庁総合HPアーカイブ動画配信保守委託,"110,000 "
政策企画局,戦略広報部,戦略広報課,令和08年01月14日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,複数少額支払に係る資金前渡（一般需用費：１月分）,"26,332 "
政策企画局,戦略広報部,戦略広報課,令和08年01月14日,一般会計,総務費,政策企画費,広報広聴費,役務費,複数少額支払に係る資金前渡（役務費：１月分）,710 
政策企画局,戦略広報部,戦略広報課,令和08年01月14日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,複数少額支払に係る資金前渡（使用賃：１月分）,"26,680 "
政策企画局,戦略広報部,戦略広報課,令和08年01月15日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,都政記録写真管理システム用パソコンの賃借,"8,690 "
政策企画局,戦略広報部,戦略広報課,令和08年01月15日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和７年度都政記録写真WEB検索システム業務委託,"226,600 "
政策企画局,戦略広報部,戦略広報課,令和08年01月15日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,R7「東京動画用」機材の賃借（長期継続）に係る支出,"26,620 "
政策企画局,戦略広報部,戦略広報課,令和08年01月15日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,ＣＨＴＶ映像スタジオ設備の借入れ（再リース）（R7）,"322,278 "
政策企画局,戦略広報部,戦略広報課,令和08年01月15日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,ＣＨＴＶスタジオ機器等の借入れ（長期継続契約）,"767,800 "
政策企画局,戦略広報部,戦略広報課,令和08年01月16日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,都庁総合ホームページ管理用サーバ機器等の借入れ,"47,850 "
政策企画局,戦略広報部,戦略広報課,令和08年01月16日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,デスクトップパソコン外の賃借（長期継続契約）,"27,500 "
政策企画局,戦略広報部,戦略広報課,令和08年01月16日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和７年度「広報東京都」電子チラシの配信及び掲載,"55,000 "
政策企画局,戦略広報部,戦略広報課,令和08年01月16日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7「広報東京都」下半期分の配布委託(11月分12月号）,"23,755,449 "
政策企画局,戦略広報部,戦略広報課,令和08年01月16日,一般会計,総務費,政策企画費,広報広聴費,委託料,R7都民事業者向け支援情報サイト運用保守等業務委託,"4,690,785 "
政策企画局,戦略広報部,戦略広報課,令和08年01月16日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和７年度国際広報SNS等分析業務委託（10-12月分）,"2,200,000 "
政策企画局,戦略広報部,戦略広報課,令和08年01月16日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7「広報東京都」郵便局掲出委託（単契）12月分,"910,910 "
政策企画局,戦略広報部,戦略広報課,令和08年01月16日,一般会計,総務費,政策企画費,広報広聴費,旅費　普通旅費,職員の海外出張に伴う旅費の支出について(ｻｳｼﾞｱﾗﾋﾞｱ),"10,765 "
政策企画局,戦略広報部,戦略広報課,令和08年01月19日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7ﾃﾚﾋﾞﾗｼﾞｵ視聴率聴取率資料購入･集計ｻｰﾋﾞｽ利用12月分,"385,000 "
政策企画局,戦略広報部,戦略広報課,令和08年01月19日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7 都提供番組東京GOOD!東京交差点制作・放送委託12月,"30,605,520 "
政策企画局,戦略広報部,戦略広報課,令和08年01月19日,一般会計,総務費,政策企画費,広報広聴費,委託料,R7 都提供番組東京GOOD!東京交差点制作・放送委託12月,"862,743 "
政策企画局,戦略広報部,戦略広報課,令和08年01月19日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,R7「広報東京都」下半期分印刷(12月分1月号）,"9,517,200 "
政策企画局,戦略広報部,戦略広報課,令和08年01月19日,一般会計,総務費,政策企画費,広報広聴費,委託料,広報東京都点字版の製作・配布委託（単価契約）12月分,"1,179,141 "
政策企画局,戦略広報部,戦略広報課,令和08年01月20日,一般会計,総務費,政策企画費,広報広聴費,役務費,令和７年度都政重要テーマに係るテレビ広告放送委託,"43,999,997 "
政策企画局,戦略広報部,戦略広報課,令和08年01月20日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,新規公募採用職員等の業務用パソコン等の購入,"115,170 "
政策企画局,戦略広報部,戦略広報課,令和08年01月20日,一般会計,総務費,政策企画費,広報広聴費,備品購入費,新規公募採用職員等の業務用パソコン等の購入,"112,750 "
政策企画局,戦略広報部,戦略広報課,令和08年01月22日,一般会計,福祉費,福祉管理費,管理費,委託料,令和７年度　統合ＣＭＳの運用等に係る業務委託,"165,000 "
政策企画局,戦略広報部,戦略広報課,令和08年01月22日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和７年度　統合ＣＭＳの運用等に係る業務委託,"52,872,041 "
政策企画局,戦略広報部,戦略広報課,令和08年01月22日,一般会計,総務費,政策企画費,広報広聴費,委託料,広報東京都音声版の製作・配布委託（単価契約）12月分,"957,914 "
政策企画局,戦略広報部,戦略広報課,令和08年01月22日,一般会計,総務費,政策企画費,広報広聴費,委託料,R7都庁総合HP英語版の移行等委託の支出(12月分),"14,697,430 "
政策企画局,戦略広報部,戦略広報課,令和08年01月23日,一般会計,総務費,政策企画費,広報広聴費,委託料,R7広報東京都レイアウト、イラスト等委託（12月分）,"5,988,400 "
政策企画局,戦略広報部,戦略広報課,令和08年01月23日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和７年度「ＷＥＢ広報東京都」の保守・運用委託,"1,353,000 "
政策企画局,戦略広報部,戦略広報課,令和08年01月23日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7会見等に係る動画字幕修正等業務委託経費支出(12月),"154,000 "
政策企画局,戦略広報部,戦略広報課,令和08年01月23日,一般会計,総務費,政策企画費,広報広聴費,役務費,令和7年度労働者派遣（単価契約）に係る支出（12月）,"1,271,865 "
政策企画局,戦略広報部,戦略広報課,令和08年01月23日,一般会計,総務費,政策企画費,広報広聴費,報償費,デジタル広報フェローへの謝礼金の支出（12月分）,"12,302 "
政策企画局,戦略広報部,戦略広報課,令和08年01月23日,一般会計,総務費,政策企画費,広報広聴費,報償費,デジタル広報フェローへの謝礼金の支出（12月分）,"10,955 "
政策企画局,戦略広報部,戦略広報課,令和08年01月26日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度プロンプター機材の賃借（長期継続契約）,"151,910 "
政策企画局,戦略広報部,戦略広報課,令和08年01月26日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度「東京動画」制作用機材の賃借,"39,820 "
政策企画局,戦略広報部,戦略広報課,令和08年01月26日,一般会計,総務費,政策企画費,広報広聴費,役務費,令和７年度都庁総合HP運営用プロバイダ契約,770 
政策企画局,戦略広報部,戦略広報課,令和08年01月26日,一般会計,総務費,政策企画費,広報広聴費,役務費,１月分  公共料金支払,"3,634 "
政策企画局,戦略広報部,戦略広報課,令和08年01月26日,一般会計,総務費,政策企画費,広報広聴費,役務費,１月分  公共料金支払,"8,012 "
政策企画局,戦略広報部,戦略広報課,令和08年01月27日,一般会計,総務費,政策企画費,広報広聴費,役務費,令和7年度固定IPアドレスの利用契約に係る支出,"10,780 "
政策企画局,戦略広報部,戦略広報課,令和08年01月27日,一般会計,総務費,政策企画費,広報広聴費,委託料,戦略広報案件管理システムライセンス提供・運用保守等,"641,300 "
政策企画局,戦略広報部,戦略広報課,令和08年01月27日,一般会計,総務費,政策企画費,広報広聴費,役務費,クラウド基盤サービス利用料にかかる支出（１０月分）,"11,150 "
政策企画局,戦略広報部,戦略広報課,令和08年01月28日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,「東京動画」更新用機材の賃借（長期継続契約）,"21,417 "
政策企画局,戦略広報部,戦略広報課,令和08年01月28日,一般会計,総務費,政策企画費,広報広聴費,委託料,広報東京都こども版作成編集WEBサイト運営等業務委託,"2,896,300 "
