公金支出情報（令和　７年　５月分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,支払額（円）
政策企画局,戦略広報部,企画調整課,令和07年05月16日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,R7複数少額資金前渡金(一般需用費)（5月分支出）,"35,925 "
政策企画局,戦略広報部,企画調整課,令和07年05月16日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7複数少額資金前渡金(役務費)（5月支出分）,"27,600 "
政策企画局,戦略広報部,企画調整課,令和07年05月21日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,画像等作成用ソフトウェアダウンロードカードの購入,"347,600 "
政策企画局,戦略広報部,企画調整課,令和07年05月26日,一般会計,総務費,政策企画費,広報広聴費,役務費,令和７年度労働者派遣（秘書事務）（単価契約）の支払,"295,916 "
政策企画局,戦略広報部,企画調整課,令和07年05月30日,一般会計,総務費,政策企画費,広報広聴費,役務費,地上デジタル放送番組情報配信委託の支払いについて,"66,000 "
政策企画局,戦略広報部,企画調整課,令和07年05月30日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度裁断機の賃借に係る経費の支出（４月分）,"9,350 "
政策企画局,戦略広報部,企画調整課,令和07年05月30日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,令和７年度裁断機の賃借に係る経費の支出（４月分）,"9,350 "
政策企画局,戦略広報部,戦略広報課,令和07年05月14日,一般会計,総務費,政策企画費,広報広聴費,委託料,R7都庁総合HP英語版の移行等委託の支出(4月分),"7,723,430 "
政策企画局,戦略広報部,戦略広報課,令和07年05月14日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,複数少額支払に係る資金前渡（一般需用費：５月分）,"6,850 "
政策企画局,戦略広報部,戦略広報課,令和07年05月14日,一般会計,総務費,政策企画費,広報広聴費,役務費,複数少額支払に係る資金前渡（役務費：５月分）,"19,900 "
政策企画局,戦略広報部,戦略広報課,令和07年05月14日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,複数少額支払に係る資金前渡（使用賃：５月分）,"53,380 "
政策企画局,戦略広報部,戦略広報課,令和07年05月16日,一般会計,総務費,政策企画費,広報広聴費,旅費　普通旅費,職員の海外出張に伴う旅費の支出について（リヤド）,"904,592 "
政策企画局,戦略広報部,戦略広報課,令和07年05月16日,一般会計,総務費,政策企画費,広報広聴費,役務費,職員の海外出張に伴う旅費の支出について（リヤド）,"171,323 "
政策企画局,戦略広報部,戦略広報課,令和07年05月16日,一般会計,総務費,政策企画費,広報広聴費,委託料,職員の海外出張に伴う旅費の支出について（リヤド）,"1,763,679 "
政策企画局,戦略広報部,戦略広報課,令和07年05月16日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,職員の海外出張に伴う旅費の支出について（リヤド）,"28,980 "
政策企画局,戦略広報部,戦略広報課,令和07年05月20日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,R7「東京動画用」機材の賃借（長期継続）に係る支出,"26,620 "
政策企画局,戦略広報部,戦略広報課,令和07年05月22日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7ﾃﾚﾋﾞﾗｼﾞｵ視聴率聴取率資料購入･集計ｻｰﾋﾞｽ利用 4月分,"209,000 "
政策企画局,戦略広報部,戦略広報課,令和07年05月22日,一般会計,総務費,政策企画費,広報広聴費,役務費,令和７年度海外報道ニュースの視聴に係る支出(４月分),"660,330 "
政策企画局,戦略広報部,戦略広報課,令和07年05月22日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,ＣＨＴＶ映像スタジオ設備の借入れ（再リース）（R7）,"322,278 "
政策企画局,戦略広報部,戦略広報課,令和07年05月22日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,ＣＨＴＶスタジオ機器等の借入れ（長期継続契約）,"767,800 "
政策企画局,戦略広報部,戦略広報課,令和07年05月26日,一般会計,総務費,政策企画費,広報広聴費,役務費,５月分  公共料金支払,"7,681 "
政策企画局,戦略広報部,戦略広報課,令和07年05月26日,一般会計,総務費,政策企画費,広報広聴費,役務費,５月分  公共料金支払,"3,633 "
政策企画局,戦略広報部,戦略広報課,令和07年05月27日,一般会計,総務費,政策企画費,広報広聴費,報償費,SusHiTechTokyo2025セッション紹介の動画の出演の謝金,"17,061 "
政策企画局,戦略広報部,戦略広報課,令和07年05月27日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,令和７年度「東京動画」制作用機材の賃借,"39,820 "
政策企画局,戦略広報部,戦略広報課,令和07年05月28日,一般会計,総務費,政策企画費,広報広聴費,役務費,R7上都提供番組「東京ｲﾝﾌｫﾒｰｼｮﾝ」の制作・放送委託4月,"7,614,476 "
政策企画局,戦略広報部,戦略広報課,令和07年05月28日,一般会計,総務費,政策企画費,広報広聴費,委託料,R7上都提供番組「東京ｲﾝﾌｫﾒｰｼｮﾝ」の制作・放送委託4月,"326,700 "
政策企画局,戦略広報部,戦略広報課,令和07年05月29日,一般会計,福祉費,福祉管理費,管理費,委託料,令和７年度　統合ＣＭＳの運用等に係る業務委託,"165,000 "
政策企画局,戦略広報部,戦略広報課,令和07年05月29日,一般会計,総務費,政策企画費,広報広聴費,委託料,令和７年度　統合ＣＭＳの運用等に係る業務委託,"52,872,057 "
政策企画局,戦略広報部,報道課,令和07年05月19日,一般会計,総務費,政策企画費,広報広聴費,役務費,少額支払案件に係る前渡金（役務費５月分）,"1,502 "
政策企画局,戦略広報部,報道課,令和07年05月23日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,記者会見室放送設備等の借入経費の支出（４月分）,"917,290 "
政策企画局,戦略広報部,報道課,令和07年05月27日,一般会計,総務費,政策企画費,広報広聴費,役務費,携帯電話料金の支出,"94,463 "
政策企画局,戦略広報部,報道課,令和07年05月28日,一般会計,総務費,政策企画費,広報広聴費,役務費,共同通信スクリーンニュースの受信（令和７年度）,"968,000 "
政策企画局,戦略広報部,報道課,令和07年05月30日,一般会計,総務費,政策企画費,広報広聴費,役務費,都知事記者会見手話通訳業務に係る支出（４月分）,"169,290 "
政策企画局,政策部,政策調査課,令和07年05月13日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複数の少額支払案件に係る前渡金の支出（一需5月分）,708 
政策企画局,政策部,政策調査課,令和07年05月13日,一般会計,総務費,政策企画費,管理費,役務費,複数の少額支払案件に係る前渡金の支出（役務5月分）,"72,500 "
政策企画局,政策部,政策調査課,令和07年05月16日,一般会計,総務費,政策企画費,管理費,役務費,登記情報提供サービス利用手数料の支出（5月分）,"3,666 "
政策企画局,政策部,政策調査課,令和07年05月27日,一般会計,総務費,政策企画費,管理費,役務費,令和７年度労働者派遣（秘書事務）（単価契約）4月分,"350,270 "
政策企画局,政策部,政策調査課,令和07年05月28日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,日刊紙の購読（４月分）,"55,960 "
政策企画局,政策部,政策調査課,令和07年05月28日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約（単価・長期継続契約）4月,"41,138 "
政策企画局,政策部,渉外課,令和07年05月12日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,令和８年度国への提案要求協力要請会に係る経費の支出,"111,650 "
政策企画局,政策部,渉外課,令和07年05月13日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,新聞購読料（朝日・東京）の支払（4月分）,"8,880 "
政策企画局,政策部,渉外課,令和07年05月13日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,新聞購読料（産経）の支払（4月分）,"3,900 "
政策企画局,政策部,渉外課,令和07年05月13日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,新聞購読料（読売）の支払（4月分）,"4,800 "
政策企画局,政策部,渉外課,令和07年05月13日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,新聞購読料（毎日）の支払（4月分）,"4,900 "
政策企画局,政策部,渉外課,令和07年05月13日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,新聞購読料（日経）の支払（4月分）,"5,500 "
政策企画局,政策部,渉外課,令和07年05月13日,一般会計,総務費,政策企画費,管理費,役務費,モバイルWi-Fiルーターの借上げに要する経費支払,"14,820 "
政策企画局,政策部,渉外課,令和07年05月13日,一般会計,総務費,政策企画費,管理費,役務費,NHK放送受信料の前払金について,"32,647 "
