年度,所管局№,所管局,施策分野№,施策分野,事業名,補助金名,補助金の概要,補助対象者№,補助対象者,予算額（千円）,所管部署,問い合わせ先,各局HPリンク
2025,03,総務局,17,その他,移住・定住促進市町村支援事業,"移住・定住促進市町村支援事業補助金
（移住体験事業補助（島しょ山村地域以外））","補助金の目的：市町村の主体的・計画的な移住定住促進の取組の後押し
補助対象者：人口減少が進む市町村
補助対象経費：市町村が主催する移住体験ツアーなどの経費
負担割合：都1/2、市町村1/2",1 ,区市町村,"27,950",総務局行政部振興企画課,03-5388-2406,
2025,03,総務局,17,その他,移住・定住促進市町村支援事業,"移住・定住促進市町村支援事業補助金
（移住体験事業補助（島しょ山村地域））","補助金の目的：市町村の主体的・計画的な移住定住促進の取組の後押し
補助対象者：条件不利地域
補助対象経費：町村が主催する移住体験ツアーなどの経費
負担割合：都3/4、町村1/4",1 ,区市町村,"13,388",総務局行政部振興企画課,03-5388-2406,
2025,03,総務局,17,その他,移住・定住促進市町村支援事業,"移住・定住促進市町村支援事業補助金
（移住体験事業補助（空き家活用経費分））","補助金の目的：市町村の主体的・計画的な移住定住促進の取組の後押し
補助対象者：条件不利地域
補助対象経費：町村が主催する移住体験ツアーなどの経費のうち、空き家バンクに掲載している物件を絡めた取組によるもの
負担割合：都10/10",1 ,区市町村,"33,150",総務局行政部振興企画課,03-5388-2406,
2025,03,総務局,17,その他,移住・定住促進市町村支援事業,"移住・定住促進市町村支援事業補助金
（移住体験住宅等を活用した地域交流イベント経費補助（島しょ山村地域））","補助金の目的：市町村の主体的・計画的な移住定住促進の取組の後押し
補助対象者：条件不利地域
補助対象経費：町村が交流拠点施設を活用し、地域交流イベントを実施する際の経費
負担割合：都3/4、町村1/4",1 ,区市町村,"3,000",総務局行政部振興企画課,03-5388-2406,
2025,03,総務局,17,その他,移住・定住促進市町村支援事業,"移住・定住促進市町村支援事業補助金
（移住体験住宅等を活用した地域交流イベント経費補助（空き家活用経費分））","補助金の目的：市町村の主体的・計画的な移住定住促進の取組の後押し
補助対象者：条件不利地域
補助対象経費：町村が交流拠点施設を活用し、地域交流イベントを実施する際の経費のうち、空き家バンクに掲載している物件を絡めた取組によるもの
負担割合：都10/10",1 ,区市町村,"6,000",総務局行政部振興企画課,03-5388-2406,
2025,03,総務局,17,その他,移住・定住促進市町村支援事業,"移住・定住促進市町村支援事業補助金
（地域交流・活動サポート事業（島しょ山村地域以外））","補助金の目的：市町村の主体的・計画的な移住定住促進の取組の後押し
補助対象者：人口減少が進む市町村
補助対象経費：地域団体などが主体となって行う移住・定住を促す交流活動の経費
負担割合：都1/2、市町村1/2",1 ,区市町村,"1,500",総務局行政部振興企画課,03-5388-2406,
2025,03,総務局,17,その他,移住・定住促進市町村支援事業,"移住・定住促進市町村支援事業補助金
（地域交流・活動サポート事業（島しょ山村地域））","補助金の目的：市町村の主体的・計画的な移住定住促進の取組の後押し
補助対象者：条件不利地域
補助対象経費：地域団体などが主体となって行う移住・定住を促す交流活動の経費
負担割合：都3/4、町村1/4",1 ,区市町村,"2,250",総務局行政部振興企画課,03-5388-2406,
2025,03,総務局,17,その他,移住・定住促進市町村支援事業,"移住・定住促進市町村支援事業補助金
（移住・定住アドバイザー派遣（島しょ山村地域以外））","補助金の目的：市町村の主体的・計画的な移住定住促進の取組の後押し
補助対象者：人口減少が進む市町村
補助対象経費：市町村が移住・定住アドバイザーを活用する際の経費
負担割合：都1/2、市町村1/2",1 ,区市町村,"2,000",総務局行政部振興企画課,03-5388-2406,
2025,03,総務局,17,その他,移住・定住促進市町村支援事業,"移住・定住促進市町村支援事業補助金
（移住・定住アドバイザー派遣（島しょ山村地域））","補助金の目的：市町村の主体的・計画的な移住定住促進の取組の後押し
補助対象者：条件不利地域
補助対象経費：町村が移住・定住アドバイザーを活用する際の経費
負担割合：都3/4、町村1/4",1 ,区市町村,"3,000",総務局行政部振興企画課,03-5388-2406,
2025,03,総務局,17,その他,東京宝島 サステナブル・アイランド創造事業,東京宝島 サステナブル・アイランド創造事業費補助金,"補助金の目的：島しょ地域の持続的発展や特色ある宝物の発掘・魅力の創造につながる、町村の意欲的な公民共創の取組を支援
補助対象者　：島しょ地域の町村
補助対象経費：事業費
負担割合　　：都10/10（補助限度額500,000千円、基盤整備を伴わない場合100,000千円）",1 ,区市町村,"1,759,652",総務局行政部振興企画課,03-5388-2436,
2025,03,総務局,17,その他,東京宝島 サステナブル・アイランド創造事業,東京宝島 サステナブル・アイランド推進支援事業費補助金,"補助金の目的：施設の整備後の本格的な利活用や多面的展開など、ソフト事業の磨き上げを支援
補助対象者　：島しょ地域の町村
補助対象経費：事業費
負担割合　　：都 1年目3/4（補助限度額50,000千円）、2年目2/3（同30,000千円）、3年目1/2（同20,000千円）",1 ,区市町村,"100,000",総務局行政部振興企画課,03-5388-2436,
2025,03,総務局,17,その他,市町村総合交付金,市町村総合交付金,"補助金の目的：市町村の行政水準の向上と住民福祉の増進を図るための財源補完制度
補助対象者　：市町村
補助対象経費：市町村が実施する各種施策に要する一般財源
負担割合　　：10/10",1 ,区市町村,"70,500,000",総務局行政部市町村課,03-5388-2432,https://www.soumu.metro.tokyo.lg.jp/05gyousei/04sougoukoufukin.html
2025,03,総務局,17,その他,特別区都市計画交付金,特別区都市計画交付金,"補助金の目的：特別区における都市計画事業の円滑な促進を図る
補助対象者　：区
補助対象経費：要綱に定める都市計画事業の事業費
負担割合　　：都の10/10",1 ,区市町村,"30,000,000",総務局行政部区政課,03-5388-2426,
2025,03,総務局,17,その他,市町村振興宝くじ交付金,市町村振興宝くじ交付金,"補助金の目的：区市町村における災害対策事業及び緊急な公共施設整備事業等を推進するために、区市町村共通の財源を確保すること
補助対象者　：東京都区市町村振興協会
補助対象経費：東京都区市町村振興協会が行う事業のうち、交付対象事業に係る経費
負担割合　　：10/10",7 ,その他団体,"7,278,378",総務局行政部振興企画課,03-5388-2442,http://www.tokyo-kushichoson-shinko.or.jp/
2025,03,総務局,17,その他,（公財）東京都島しょ振興公社貸付等,ヘリコミューター支援経費補助金,"補助金の目的：伊豆諸島地域の活性化及び島民生活の基盤の確保を図るため、伊豆諸島地域を結ぶ２地点間（大島・利島・三宅島・御蔵島・八丈島・青ヶ島）ヘリ輸送の支援事業を行う（公財）東京都島しょ振興公社に対し、予算の範囲内において、補助金を交付するもの。
補助対象者　：（公財）東京都島しょ振興公社
補助対象経費：伊豆諸島地域を結ぶ２地点間ヘリ輸送事業の経常収支額から（公財）東京都島しょ振興公社の支援額を差し引いた額
負担割合　　：10/10",3 ,政策連携団体,"1,472,877",総務局行政部振興企画課,03-5388-2444,
2025,03,総務局,17,その他,ヘリコミューター運賃補助,ヘリコミューター運賃補助（国基準）,"補助金の目的：特定有人国境離島地域における継続的な居住が可能となる環境の整備を図るため。
補助対象者　：対象航空路の航空路事業を営む者であって、航空路運賃低廉化事業により運賃の低廉化を実施するもの。
【対象航空路】
１ 当該特定有人国境離島地域と当該特定有人国境離島地域の属する都道県との間の交通の用に供される路線
２ 当該特定有人国境離島地域と都道県庁所在地その他の経済上又は文化上特に重要な都市との間の交通の用に供される路線であって、旅客の利用状況等からみて旅客の運送の確保を図ることが当該特定有人国境離島地域の住民の生活の安定に資するものとして、大臣が特に必要と認めた路線
補助対象経費：基準航空路運賃と割引住民航空路運賃との差額に住民等の利用人員を乗じて得た額
負担割合　　：国11/20 都9/20",5 ,民間団体,"9,118",総務局行政部振興企画課,03-5388-2444,
2025,03,総務局,17,その他,ヘリコミューター運賃補助,ヘリコミューター運賃補助（都加算）,"補助金の目的：東京都伊豆諸島地域を結ぶ２地点間（大島・利島・三宅島・御蔵島・八丈島・青ヶ島）ヘリ輸送に係る島民割引運賃の設定に要する経費に対して、予算の範囲内において補助するもの。
補助対象者　：東京都伊豆諸島地域を結ぶ２地点間（大島・利島・三宅島・御蔵島・八丈島・青ヶ島）ヘリ輸送に係る島民割引運賃の設定を行う事業者
補助対象経費：普通旅客運賃と島民割引運賃の差額に住民等の利用人員及び１１０分の１００を乗じて得た額
負担割合      ：10/10",5 ,民間団体,"25,922",総務局行政部振興企画課,03-5388-2444,
2025,03,総務局,17,その他,生活物資輸送費補助,小笠原諸島生活物資輸送費補助（プロパンガス）,"補助金の目的：小笠原諸島における物価安定を図るため
補助対象者　：東京都小笠原支庁管内で生活物資を販売する者
補助対象経費：小笠原諸島へのプロパンガスの船舶による東京、小笠原諸島間及び小笠原諸島相互間の運搬に要する輸送費
負担割合　　：都10/10",5 ,民間団体,"25,495",総務局行政部振興企画課,03-5388-2445,https://www.soumu.metro.tokyo.lg.jp/05gyousei/06sinkouogasawarajigyou1.html
2025,03,総務局,17,その他,生活物資輸送費補助,小笠原諸島生活物資輸送費補助（米穀類を除く食料品等）,"補助金の目的：小笠原諸島における物価安定を図るため
補助対象者　：東京都小笠原支庁管内で生活物資を販売する者
補助対象経費：小笠原諸島への米穀類を除く食料品等の船舶による東京、小笠原諸島間及び小笠原諸島相互間の運搬に要する輸送費　
負担割合　　：都3/5、事業者2/5",5 ,民間団体,"49,302",総務局行政部振興企画課,03-5388-2445,https://www.soumu.metro.tokyo.lg.jp/05gyousei/06sinkouogasawarajigyou1.html
2025,03,総務局,17,その他,生活物資輸送費補助,小笠原諸島生活物資輸送費補助（米穀類、衣料品等）,"補助金の目的：小笠原諸島における物価安定を図るため
補助対象者　：東京都小笠原支庁管内で生活物資を販売する者
補助対象経費：小笠原諸島への米穀類、衣料品等の船舶による東京、小笠原諸島間及び小笠原諸島相互間の運搬に要する輸送費
負担割合　　：都3/10、事業者7/10",5 ,民間団体,576,総務局行政部振興企画課,03-5388-2445,https://www.soumu.metro.tokyo.lg.jp/05gyousei/06sinkouogasawarajigyou1.html
2025,03,総務局,17,その他,生産物貨物運賃補助,小笠原諸島生産物貨物運賃補助（東京～父島間）,"補助金の目的：島民の生活安定及び定住促進に寄与するため
補助対象者　：定期航路事業者及び不定期航路事業者
補助対象経費：小笠原諸島における農漁業生産物及び関連物資の運搬に要する輸送費
負担割合　　：都1/2、事業者1/2",5 ,民間団体,"16,411",総務局行政部振興企画課,03-5388-2445,https://www.soumu.metro.tokyo.lg.jp/05gyousei/06sinkouogasawarajigyou1.html
2025,03,総務局,17,その他,生産物貨物運賃補助,小笠原諸島生産物貨物運賃補助（父島～母島間）,"補助金の目的：島民の生活安定及び定住促進に寄与するため
補助対象者　：定期航路事業者及び不定期航路事業者
補助対象経費：小笠原諸島における農漁業生産物及び関連物資の運搬に要する輸送費
負担割合　　：都10/10",5 ,民間団体,"3,437",総務局行政部振興企画課,03-5388-2445,https://www.soumu.metro.tokyo.lg.jp/05gyousei/06sinkouogasawarajigyou1.html
2025,03,総務局,17,その他,旧島民帰島引越輸送費補助,小笠原諸島帰島民荷物輸送費補助,"補助金の目的：小笠原諸島における旧島民等の帰島援護を図るため
補助対象者　：旧島民(昭和１９年３月３１日に小笠原諸島に住所を有していた者で、昭和４３年６月２５日に小笠原諸島以外の本邦に住所を有していた者)、その父母、子及び孫並びにこれらの配偶者
補助対象経費：航路事業者が補助対象者から受付を行った引越荷物の東京、小笠原諸島間及び小笠原諸島相互間の運搬に要する輸送費
負担割合　　：１４トン（重量トン又は 容積トンのいずれか大きい方とする。）までにつき、その輸送費の金額を１世帯１回",7 ,その他団体,333,総務局行政部振興企画課,03-5388-2445,https://www.soumu.metro.tokyo.lg.jp/05gyousei/06sinkouogasawarajigyou1.html
2025,03,総務局,17,その他,定期航路補助,小笠原諸島離島航路補助,"補助金の目的：小笠原諸島における離島航路の維持及び改善を図るため
補助対象者　：離島航路事業者
補助対象経費：航路損益見込計算書における差引当期純利益（ 純
損失） の額に別に局長が定める率を乗じて得た額
負担割合　　：都10/10",5 ,民間団体,"156,593",総務局行政部振興企画課,03-5388-2445,https://www.soumu.metro.tokyo.lg.jp/05gyousei/06sinkouogasawarajigyou1.html
2025,03,総務局,17,その他,小笠原航路改善費補助,小笠原諸島離島航路改善補助,"補助金の目的：小笠原諸島における離島航路の維持及び改善を図るため
補助対象者　：離島航路事業者
補助対象経費：小笠原諸島における定期航路就航船舶の使用料
負担割合　　：都1/2、事業者1/2",5 ,民間団体,"51,910",総務局行政部振興企画課,03-5388-2445,
2025,03,総務局,17,その他,応急対策,災害見舞金,"補助金の目的：見舞金の贈呈
補助対象者　：災害対策基本法第２条第１号に規定する災害が発生した被災国等及び災害救助法の適用を受けた道府県
補助対象経費：額は要領別表に定める基準数値による
負担割合　　：定額",7 ,その他団体,"4,500",総務局総合防災部防災管理課,03-5388-2453,
2025,03,総務局,17,その他,石油貯蔵施設立地対策等交付金,石油貯蔵施設等立地対策等交付金,"補助金の目的：石油貯蔵施設の立地に伴う財政負担の軽減による施設立地の促進
補助対象者　：江戸川区、大田区
補助対象経費：消防施設、防災通信施設、防災緑地等
負担割合　　：国10/10",1 ,区市町村,"5,623",総務局総合防災部防災計画課,03-5388-2457,
2025,03,総務局,17,その他,区市町村庁舎の非常用電源設置等支援,非常用電源等整備費補助,"補助金の目的：災害対策本部が設置される庁舎における非常用電源の確実な稼働体制の確保
補助対象者　：①稼働時間が72時間未満の団体②稼働時間が72時間未満の団体③全区市町村
補助対象経費：①発電機・蓄電池等の設置（改修）②非常用電源の水害対策③非常用電源の地震対策に要する経費
負担割合　　：都1/2、区市町村1/2",1 ,区市町村,"74,969",総務局総合防災部防災計画課,03-5388-2359,
2025,03,総務局,17,その他,区市町村災害対応力向上支援事業,区市町村災害対応力向上支援事業,"補助金の目的：新たな被害想定で明らかになった課題の解決に向け、区市町村が防災対策の取組を効果的に進めることができるよう支援
補助対象者　：区市町村
補助対象経費：消火器、Wi－Fi機器、非常用発電機、携帯トイレ、簡易トイレ
負担割合　　：都1/2、区市町村1/2（消火器のみ：都1/3、区市町村1/3、都民1/3）",1 ,区市町村,"202,470",総務局総合防災部防災計画課,03-5388-2454,https://www.bousai.metro.tokyo.lg.jp/taisaku/torikumi/1028020/index.html
2025,03,総務局,17,その他,市町村消防指導,東京都消防協会補助,"補助金の目的：消防団の充実強化、地域防災力の向上推進
補助対象者　：一般社団法人東京都消防協会
補助対象経費：消防団の消防知識技術、福利厚生の向上等に係る消防・防災事業
負担割合　　：都10/10",7 ,その他団体,"6,300",総務局総合防災部防災管理課,03-5388-2457,
2025,03,総務局,17,その他,消防施設整備費補助,市町村消防施設整備費補助,"補助金の目的：市町村の消防防災設備の整備促進
補助対象者　：都に消防事務を委託している市町村以外の市町村
補助対象経費：備蓄倉庫、防火水槽のほか、消防ポンプ自動車等の購入又は設置に要する経費
負担割合　　：都1/3、市町村2/3",1 ,区市町村,"16,500",総務局総合防災部防災管理課,03-5388-2457,
2025,03,総務局,17,その他,帰宅困難者対策,東京都民間一時滞在施設備蓄品購入費用補助,"補助金の目的：帰宅困難者の受入れ環境の整備
補助対象者　：都内区市町村と帰宅困難者の受入協定を締結する民間一時滞在施設
補助対象経費：帰宅困難者用の備蓄品や電源機器等の購入に要する経費
負担割合　　：都5/6、事業者1/6",5 ,民間団体,"106,636",総務局総合防災部防災管理課,03-5388-2529,https://www.bousai.metro.tokyo.lg.jp/kitaku_portal/1000048/1006430/1007875/index.html
2025,03,総務局,17,その他,帰宅困難者対策,東京都一時滞在施設災害時拠点強靱化緊急促進事業に関する補助金,"補助金の目的：帰宅困難者の受入れ環境の整備
補助対象者　：都内区市町村と帰宅困難者の受入協定を締結する民間一時滞在施設
補助対象経費：帰宅困難者を受け入れるために付加的に必要となる、退避施設・防災備蓄倉庫等の整備に要する経費
負担割合　　：都1/3、国2/3",5 ,民間団体,"294,799",総務局総合防災部防災管理課,03-5388-2529,https://www.bousai.metro.tokyo.lg.jp/kitaku_portal/1000048/1006430/1007877/index.html
2025,03,総務局,17,その他,地域防災力の向上支援,出火防止対策に係る区市町村支援,"補助金の目的：感震ブレーカーの設置を進める区市町村に対して補助
補助対象者　：区市町村
補助対象経費：分電盤タイプ・コンセントタイプの感震ブレーカー
負担割合：都1/2、区市町村1/2（補助基準額：分電盤タイプ2万円、コンセントタイプ7千円）",1 ,区市町村,"828,800",総務局総合防災部防災戦略課調整担当,03-5320-7449,
2025,03,総務局,17,その他,地域防災力の向上支援,住宅事業者への感震ブレーカー購入費補助,"補助金の目的：新築住宅に感震ブレーカーを設置する場合に、住宅事業者へ感震ブレーカーの購入費を補助
補助対象者　：新築住宅（木造）を施工する住宅事業者
補助対象経費：感震ブレーカー（分電盤型）
負担割合：　　都1/2、事業者1/2（補助上限額：3万円）",5 ,民間団体,"120,000",総務局総合防災部防災戦略課調整担当,03-5320-7449,
2025,03,総務局,17,その他,燃料確保対策,指定給油所への耐震診断補助,"補助金の目的：都が指定する給油所における、関係車両への確実な給油体制の構築
補助対象者　：都が燃料備蓄を委託している給油所
補助対象経費：旧耐震(S56.5以前)の指定給油所における耐震診断費用
負担割合　　：都1/2、事業者1/2",5 ,民間団体,"2,800",総務局総合防災部防災計画課,03-5388-2359,
2025,03,総務局,17,その他,燃料確保対策,指定給油所への非常用発電設備に係る点検等費用に対する補助,"補助金の目的：発災時においても給油所の機能維持を図るため、都指定給油所を対象に非常用発電設備の点検等に対して補助
補助対象者　：非常用発電設備を設置している都指定給油所
補助対象経費：専門業者による点検等に要した費用
負担割合：　　都10/10（補助上限額：30万円）",5 ,民間団体,"14,400",総務局総合防災部防災計画課計画調整担当,03-5320-7892,
2025,03,総務局,17,その他,東京防災プランの推進,避難所環境整備・災害時トイレ確保等区市町村支援,"補助金の目的：避難所の環境整備や、災害時に有効活用できるトイレの確保等について、区市町村に対する支援を実施
補助対象者　：区市町村
補助対象経費：簡易ベッド、屋内型仕切り・テント、災害用温水シャワー、ペット避難資機材、在宅避難者用携帯トイレ、避難所用マンホールトイレ、車両型トイレ、自己処理型トイレ、エレベーター用防災キャビネット、地域内輸送拠点資機材
負担割合：　　都1/2、区市町村1/2",1 ,区市町村,"1,000,000",総務局総合防災部防災計画課,03-5388-2454,
