年度,所管局№,所管局,施策分野№,施策分野,事業名,補助金名,補助金の概要,補助対象者№,補助対象者,予算額（千円）,所管部署,問い合わせ先,各局HPリンク
2025,02,子供政策連携室,01,子供家庭,とうきょう すくわくプログラム推進事業,とうきょう すくわくプログラム推進事業補助金,"補助金の目的：幼稚園・保育所等での「とうきょう すくわくプログラム」の実践
補助対象者：区市町村または園
補助対象経費：備品購入費等、「とうきょう すくわくプログラム」の実施に必要な経費
負担割合：都10/10、上限1,500千円（１園あたり）",1 ,区市町村,"4,117,500",子供政策連携室企画調整部企画調整課,03-5388-3812,
2025,02,子供政策連携室,01,子供家庭,ファミリー・アテンダント,ファミリー・アテンダント事業補助金,"補助金の目的：地域の民間団体等の人材を活用した子育て世帯への家庭訪問等、日常的な不安や悩みに寄り添うアウトリーチ型の支援を展開し、子育て世帯の孤独・孤立対策を強化
補助対象者：区市町村
補助対象経費：事業の実施に必要な経費 等
負担割合：都10/10",1 ,区市町村,"2,457,978",子供政策連携室企画調整部企画調整課,03-5388-3812,
2025,02,子供政策連携室,01,子供家庭,子供の笑顔につながる「遊び」の推進,子供の遊び場等整備事業補助金,"補助金の目的：子供の「遊び場」の創出
補助対象者：区市町村
補助対象経費：プレーパークや地域資源を活用した遊び場など、子供の意見を反映した遊び場等の基盤整備事業に必要な経費
負担割合：都10/10",1 ,区市町村,"1,500,000",子供政策連携室企画調整部企画調整課,03-5388-3812,https://www.kodomoseisaku.metro.tokyo.lg.jp/jigyo/suisin-team/kodomonoegaonitsunagaruasobinosokushin
2025,02,子供政策連携室,01,子供家庭,日本語を母語としない子供を支援,多文化キッズサロン設置支援事業補助金,"補助金の目的：日本語を母語としない子供の地域の居場所として、「学習」「相談」「交流」等の機能を一体的に備えた多文化キッズサロンの設置を促進
補助対象者：区市町村
補助対象経費：「学習」「相談」「交流」を必須機能とする多文化キッズサロンを設置するための整備費及び運営費
負担割合：整備費：都10/10、補助上限10百万円、補助期間最大3年
　　　　　　運営費：都1/2、補助上限5百万円",1 ,区市町村,"58,000",子供政策連携室企画調整部企画調整課,03-5388-3812,
2025,02,子供政策連携室,01,子供家庭,東京都フリースクール等利用者等支援事業,東京都フリースクール等利用者支援事業助成金,"補助金の目的：フリースクール等の利用者の経済的負担の軽減
補助対象者：都内在住の不登校の小・中学生の保護者
※ このほか、都が定める要件を満たしている必要あり
補助対象経費：フリースクール等の利用料 
※入会金・施設維持費・教材費などの経費は対象外
負担割合：都10/10 （月額上限2万円）",6 ,一般都民,"720,000",生活文化局私学部連携支援課,03-6800-8763,
2025,02,子供政策連携室,01,子供家庭,東京都フリースクール等支援事業,東京都フリースクール等支援事業補助金,"補助金の目的：都内フリースクール等の活動支援
補助対象者：①不登校の児童生徒（小・中学生）に対する支援を主たる目的として活動している通所型施設②通所する子供一人ひとりについて「サポートプラン」の作成等を行うこと※このほか、都が定める要件を満たしている必要あり
補助対象経費：①サポートプランの作成等にかかる人件費　②施設の安全対策、子供の体験活動、スタッフの資質向上等の経費
負担割合：
①サポートプランの作成等にかかる人件費　都3/4、事業者1/4 　※小規模施設の場合は特例措置あり
②施設の安全対策、子供の体験活動、スタッフの資質向上等の経費　都1/2、事業者1/2",5 ,民間団体,"375,000",生活文化局私学部連携支援課,03-6633-3648,
2025,02,子供政策連携室,01,子供家庭,子供の未来を育む「体験活動」推進区市町村支援事業（「遊び」特別推進枠）,子供の未来を育む「体験活動」推進区市町村支援事業（「遊び」特別推進枠）補助金,"補助金の目的：地域における子供の「遊び」の拡大・浸透
補助対象者：区市町村
補助対象経費：「遊び」の開催、「遊び」を支える人材の育成、安全対策等に要する経費
負担割合：
①　令和６年度までに子供の「遊び」に関する子供政策連携室のソフト事業の実施がない区市町村：都　1年目10/10、2年目10/10、3年目10/10
②　①以外の区市町村：都　1年目2/3、2年目1/2、3年目1/2",1 ,区市町村,"190,000",子供政策連携室企画調整部企画調整課,03-5388-3812,
2025,02,子供政策連携室,01,子供家庭,子供の未来を育む「体験活動」推進区市町村支援事業（「体験活動」推進枠）,子供の未来を育む「体験活動」推進区市町村支援事業（「体験活動」推進枠）補助金,"補助金の目的：子供の体験活動を実施する区市町村の支援を通じて、子供が社会を生き抜く上で必要となる基礎的な能力を育成。また、 区市町村における学校外の体験活動の創出を促し、全ての子供が多様な体験活動にチャレンジできる環境を整備
補助対象者：区市町村
補助対象経費 ：新規・拡充を行うソフト事業
負担割合：都10/10（上限1,000万円）、補助期間最大３か年",1 ,区市町村,"220,000",子供政策連携室企画調整部企画調整課,03-5388-3813,
2025,03,総務局,17,その他,人権啓発相談,人権啓発活動区市町村再委託事業補助,"補助金の目的：啓発活動は，人権尊重思想の普及高揚を図り，地域住民に人権問題に対する正しい認識を広めることにより，基本的人権の擁護に資することを目的とする。
補助対象者　：区市町村長
補助対象経費：講演会の開催、資料の作成・配布、放送広告の実施、新聞等広告の掲載、研修会の開催、地域人権啓発活動活性化事業の実施、その他上記に準ずる啓発活動で法務省人権擁護局長が相当と認めるもの。
負担割合　　：全額国",1 ,区市町村,"28,711",総務局人権部人権施策推進課,03-5388-2588,
2025,03,総務局,17,その他,（公財）東京都人権啓発センター運営費補助,（公財）東京都人権啓発センター運営費補助,"補助金の目的：公益財団法人東京都人権啓発センターの運営
補助対象者　：公益財団法人東京都人権啓発センター
補助対象経費：(1) 人件費、(2) 事務費、(3) 事業費（以下のものに限る。）
① 参加者から参加費用を徴しない講演会、研修会、映画会、コンサート等に係るもの
② 財団の事業実施時に都民等に対して配布又は頒布する啓発用物品の作成費用。ただし、頒布する場合の対価は原価を上回らないこととし、それにより得た収入額は補助対象経費から差し引くこととする。
③ 利用者から対価を得ずに実施するポスターの作成・掲出、マスメディアやインターネットを通じた広報・情報提供活動に係るもの
④ 人権に関する情報収集、調査研究等
⑤ 利用者から対価を得ないで実施する相談事業
⑥ その他財団の目的達成に必要な事業で、利用者から対価を得ないもの
負担割合　　：都100%",3 ,政策連携団体,"134,374",総務局人権部人権施策推進課,03-5388-2588,https://www.tokyo-jinken.or.jp/contents/outline/zaimusiryou.html
2025,03,総務局,17,その他,多摩地域の振興策の推進,多摩地域における多様な主体との連携活動促進支援事業費補助金,"補助金の目的：多摩地域において、複数の市町村と多様な主体との連携による広域的な地域課題の解決や、新たな価値の創造など、先進的な取組を支援し、多摩地域の多様な魅力を向上
補助対象者：多摩地域の市町村
補助対象経費：事業の実施に要する経費
負担割合 ：都2/3（補助限度額20,000千円 ※補助期間の初年度は10,000千円）",1 ,区市町村,"70,000",総務局行政部振興企画課,03-5388-2443,
2025,03,総務局,17,その他,（公財）小笠原協会補助,小笠原協会補助,"補助金の目的：旧島民の帰島を促進し、島民の定着等を推進
補助対象者　：公益財団法人　小笠原協会
補助対象経費：帰島を希望する旧島民の帰島の促進及び小笠原諸島の振興開発に資する事業
負担割合　　：都1/2",7 ,その他団体,"4,000",総務局行政部振興企画課,03-5388-2445,
2025,03,総務局,10,観光,島しょの「魅力再発見」と「ブランド化」に向けた取組,島しょ地域宿泊施設誘致活動支援補助金,"補助金の目的：上質な宿泊施設を誘致・整備し、新たな島の魅力を創出
補助対象者　：島しょ地域の町村
補助対象経費：宿泊施設の誘致・整備に係る取組等
負担割合　　：都2/3以内（補助限度額100,000千円）、町村1/3",1 ,区市町村,"200,000","総務局行政部振興企画課
産業労働局観光部振興課",03-5320-4768,
2025,03,総務局,17,その他,島しょの「魅力再発見」と「ブランド化」に向けた取組,島しょ地域における国際会議の受入環境整備支援補助金,"補助金の目的：国際会議の開催に向け、会場および周辺施設の環境整備に取り組む町村を支援
補助対象者　：島しょ地域の町村
補助対象経費：国際会議の会場等受入環境の整備に係る経費
負担割合　　：1/2",1 ,区市町村,"10,000",総務局行政部振興企画課,03-5388-2436,
2025,03,総務局,17,その他,島しょの「魅力再発見」と「ブランド化」に向けた取組,島しょ地域の廃ホテル跡地活用に係る町村支援補助金,"補助金の目的：跡地の活用を前提に、廃ホテルの撤去等に取り組む島しょ町村を財政的に支援
補助対象者　：島しょ地域の町村
補助対象経費：廃ホテルの撤去等に係る経費
負担割合　　：都3/4、町村1/4",1 ,区市町村,"17,334",総務局行政部振興企画課,03-5388-2436,
2025,03,総務局,17,その他,移住・定住促進市町村支援事業,"移住・定住促進市町村支援事業補助金
（定住促進サポート事業）","補助金の目的：都内条件不利地域における定住の促進及び中小企業等における人手不足の解消等を図ること
補助対象者　：条件不利地域
補助対象経費：定住促進サポート事業の実施に要する経費のうち、定住支援金として支給する額
負担割合　　：都3/4、町村1/4",1 ,区市町村,"26,827",総務局行政部振興企画課,03-5388-2406,
2025,03,総務局,17,その他,島しょ山村地域における移住体験住宅整備補助,島しょ山村地域における移住体験住宅整備事業補助金,"補助金の目的：島しょ山村地域における移住・定住の促進
補助対象者　：都内条件不利地域の町村
補助対象経費：移住体験住宅整備等に要する経費
負担割合　　：都10/10（補助上限額：1.2億円）",1 ,区市町村,"10,000",総務局行政部振興企画課,03-5388-2406,
2025,03,総務局,17,その他,移住・定住促進市町村支援事業,"移住・定住促進市町村支援事業補助金
（移住イベント出展経費補助（島しょ山村地域以外））","補助金の目的：市町村の主体的・計画的な移住定住促進の取組の後押し
補助対象者：人口減少が進む市町村
補助対象経費：市町村が移住に関する全国イベントに出展する際の経費
負担割合：都1/2、市町村1/2",1 ,区市町村,"2,400",総務局行政部振興企画課,03-5388-2406,
2025,03,総務局,17,その他,移住・定住促進市町村支援事業,"移住・定住促進市町村支援事業補助金
（移住イベント出展経費補助（空き家活用経費分））","補助金の目的：市町村の主体的・計画的な移住定住促進の取組の後押し
補助対象者：条件不利地域
補助対象経費：町村が移住に関する全国イベントに出展する際の経費のうち、空き家バンクに掲載している物件を絡めた取組によるもの
負担割合：都10/10",1 ,区市町村,"4,800",総務局行政部振興企画課,03-5388-2406,
